DATE and TIME (UTC) 	LAT  	LON  	MAG  	DEPTH		
km	  LOCATION   					
   (Shows interactive map)  	  IRIS ID					
  (Other info)						
15-09-2023 13:02	-30.11	-177.78	5.1	37	"KERMADEC ISLANDS, NEW ZEALAND"	11745407
15-09-2023 12:44	2.66	127.13	4.3	57	NORTHERN MOLUCCA SEA	11747809
15-09-2023 11:44	13.38	51.12	4.4	10	EASTERN GULF OF ADEN	11747818
15-09-2023 10:34	23.96	121.84	4.9	13	TAIWAN	11745386
15-09-2023 09:30	-60.44	-25.88	5	10	SOUTH SANDWICH ISLANDS REGION	11745377
15-09-2023 08:30	-7.21	127.49	4.1	146	BANDA SEA	11749636
15-09-2023 08:00	15.5	145.5	4.8	10	MARIANA ISLANDS	11750048
15-09-2023 07:56	35.78	140.26	4.4	65	"NEAR EAST COAST OF HONSHU, JAPAN"	11749633
15-09-2023 07:32	15.61	145.88	4.5	9	MARIANA ISLANDS	11750040
15-09-2023 07:28	15.45	145.74	4.5	11	MARIANA ISLANDS	11750043
15-09-2023 07:25	15.44	145.94	4.4	10	MARIANA ISLANDS	11750032
15-09-2023 07:20	28.32	140.3	4.4	179	"BONIN ISLANDS, JAPAN REGION"	11745357
15-09-2023 07:13	-3.11	-77.66	4.4	10	PERU-ECUADOR BORDER REGION	11749631
15-09-2023 06:23	17.79	-81.77	4.1	10	NORTH OF HONDURAS	11749628
15-09-2023 06:22	15.53	145.61	4.6	8	MARIANA ISLANDS	11750044
15-09-2023 06:19	15.51	145.57	4.6	10	MARIANA ISLANDS	11750045
15-09-2023 05:00	-15.96	-72.01	4.1	124	SOUTHERN PERU	11745398
15-09-2023 04:28	15.5	145.88	4.7	10	MARIANA ISLANDS	11747317
15-09-2023 04:26	15.51	145.85	4.7	10	MARIANA ISLANDS	11745344
15-09-2023 04:21	-17.42	-70.78	4.4	127	NEAR COAST OF PERU	11745339
15-09-2023 03:09	-20.86	-69.07	4.5	117	NORTHERN CHILE	11745333
15-09-2023 02:48	-30.19	60.22	4.7	10	SOUTHWEST INDIAN RIDGE	11747265
15-09-2023 02:37	-60.78	-23.64	5.1	10	SOUTH SANDWICH ISLANDS REGION	11745328
15-09-2023 00:46	-48.89	123.89	4.6	10	WESTERN INDIAN-ANTARCTIC RIDGE	11748443
15-09-2023 00:44	9.61	138.73	4.6	10	"W. CAROLINE ISLANDS, MICRONESIA"	11748435
14-09-2023 23:51	-57.96	-25.26	5.1	45	SOUTH SANDWICH ISLANDS REGION	11745271
14-09-2023 23:34	5.5	127.03	4.5	10	PHILIPPINE ISLANDS REGION	11748210
14-09-2023 23:15	-6.52	149.51	5	10	"NEW BRITAIN REGION, P.N.G."	11745265
14-09-2023 22:51	-36.51	-98.08	5.6	10	SOUTHEAST OF EASTER ISLAND	11745255
14-09-2023 22:42	20.02	121.33	4	38	PHILIPPINE ISLANDS REGION	11748014
14-09-2023 22:35	59.31	-153.5	4.4	104	SOUTHERN ALASKA	11745240
14-09-2023 22:02	24.5	141.28	4.5	228	"VOLCANO ISLANDS, JAPAN REGION"	11748000
14-09-2023 20:44	-6.27	149.62	4.5	62	"NEW BRITAIN REGION, P.N.G."	11746891
14-09-2023 19:58	-6.17	149.58	5.6	59	"NEW BRITAIN REGION, P.N.G."	11745209
14-09-2023 18:50	29.08	-97.86	4	5	CENTRAL TEXAS	11745176
14-09-2023 14:40	-27.2	-71.16	4.4	20	NEAR COAST OF NORTHERN CHILE	11748325
14-09-2023 14:25	5.27	-76.73	5.2	7	COLOMBIA	11745104
14-09-2023 13:50	-18.81	-177.62	4.3	581	FIJI ISLANDS REGION	11748322
14-09-2023 13:46	7.89	124.91	4.6	56	"MINDANAO, PHILIPPINES"	11748321
14-09-2023 13:18	-60.79	-34.33	4.6	10	SCOTIA SEA	11748318
14-09-2023 10:44	18.21	-99.09	4	60	"GUERRERO, MEXICO"	11745070
14-09-2023 07:32	28	-112.14	4	10	GULF OF CALIFORNIA	11745046
14-09-2023 07:19	-36.32	-99.58	4.9	10	SOUTHEAST OF EASTER ISLAND	11745044
14-09-2023 07:01	6.84	-73.03	5.1	151	NORTHERN COLOMBIA	11745041
14-09-2023 05:53	30.97	-8.37	4.6	10	MOROCCO	11745026
14-09-2023 03:34	10	-86.39	4.5	10	OFF COAST OF COSTA RICA	11745012
14-09-2023 02:47	-23.98	-66.76	4.4	205	"JUJUY PROVINCE, ARGENTINA"	11744989
14-09-2023 00:50	-27.23	-71.2	4.5	16	NEAR COAST OF NORTHERN CHILE	11744972
14-09-2023 00:31	-21.47	-178.46	4.5	503	FIJI ISLANDS REGION	11744943
13-09-2023 20:53	-21.32	-179.08	4.3	552	FIJI ISLANDS REGION	11746519
13-09-2023 18:49	2.17	-101.83	4.3	10	GALAPAGOS TRIPLE JUNCTION REGION	11746766
13-09-2023 17:51	15.23	39.47	5	10	ETHIOPIA	11744780
13-09-2023 16:45	-23.06	170.07	5.2	10	SOUTHEAST OF LOYALTY ISLANDS	11744767
13-09-2023 16:22	-23.1	-175.09	4.9	10	TONGA ISLANDS REGION	11747043
13-09-2023 12:25	18.72	145.43	4.4	148	MARIANA ISLANDS	11749196
13-09-2023 11:49	-36.25	-97.95	6.1	10	WEST CHILE RISE	11744716
13-09-2023 11:36	-9.67	159.86	5.2	45	SOLOMON ISLANDS	11744687
13-09-2023 11:03	7.06	-71.79	4.2	10	VENEZUELA	11749188
13-09-2023 09:16	48.88	156.14	4.6	30	EAST OF KURIL ISLANDS	11744668
13-09-2023 08:38	43.87	13.39	4.1	10	CENTRAL ITALY	11744667
13-09-2023 07:52	-22.94	-66.42	4.2	259	"JUJUY PROVINCE, ARGENTINA"	11744661
13-09-2023 05:34	-5.72	110.19	5.1	649	JAVA SEA	11744627
13-09-2023 04:07	31.79	142.28	4.4	10	"SOUTHEAST OF HONSHU, JAPAN"	11744862
13-09-2023 03:24	55.37	166.48	4.3	10	KOMANDORSKIYE OSTROVA REGION	11744592
13-09-2023 02:33	70.58	-14.71	5.1	10	JAN MAYEN ISLAND REGION	11744581
13-09-2023 00:53	18.45	-105.53	4.6	10	"OFF COAST OF JALISCO, MEXICO"	11744603
13-09-2023 00:51	35.1	22.62	4.1	51	CENTRAL MEDITERRANEAN SEA	11745223
13-09-2023 00:06	70.4	-14.78	4.9	10	JAN MAYEN ISLAND REGION	11744545
13-09-2023 00:05	70.58	-14.65	4.6	10	JAN MAYEN ISLAND REGION	11744541
12-09-2023 23:53	70.48	-14.56	4.2	10	JAN MAYEN ISLAND REGION	11744537
12-09-2023 23:17	51.51	-176.45	5	50	"ANDREANOF ISLANDS, ALEUTIAN IS."	11744525
12-09-2023 21:48	54.01	-164.14	4.9	54	"UNIMAK ISLAND REGION, ALASKA"	11744496
12-09-2023 18:55	-36.64	178.25	4.5	102	"OFF E. COAST OF N. ISLAND, N.Z."	11744749
12-09-2023 18:38	-24.12	-66.78	4.1	187	"SALTA PROVINCE, ARGENTINA"	11744499
12-09-2023 15:01	-7.81	120.55	4.5	10	FLORES SEA	11744311
12-09-2023 13:58	30.18	142.15	4.8	10	"SOUTHEAST OF HONSHU, JAPAN"	11744299
12-09-2023 12:52	-31.08	-178.63	4.2	124	KERMADEC ISLANDS REGION	11746706
12-09-2023 12:19	-21.76	-68.26	4.4	117	CHILE-BOLIVIA BORDER REGION	11745514
12-09-2023 11:03	19.27	121.22	6.3	41	PHILIPPINE ISLANDS REGION	11744268
12-09-2023 10:43	31.83	140.61	4.5	79	"SOUTHEAST OF HONSHU, JAPAN"	11744263
12-09-2023 08:57	28.09	130.28	4.9	10	"RYUKYU ISLANDS, JAPAN"	11744257
12-09-2023 08:56	28.21	130.04	4.5	25	"RYUKYU ISLANDS, JAPAN"	11746694
12-09-2023 07:35	-5.38	151.86	4.5	57	"NEW BRITAIN REGION, P.N.G."	11746705
12-09-2023 05:23	54.98	-156.38	4.7	5	SOUTH OF ALASKA	11744228
12-09-2023 04:58	-20.66	-68.48	5.3	108	CHILE-BOLIVIA BORDER REGION	11744225
12-09-2023 02:40	15.14	-93.4	5.1	64	"NEAR COAST OF CHIAPAS, MEXICO"	11744208
12-09-2023 01:38	-22.31	169.69	5	10	SOUTHEAST OF LOYALTY ISLANDS	11744199
12-09-2023 01:18	-10.17	161.39	5.1	92	SOLOMON ISLANDS	11744193
12-09-2023 01:00	46.02	152.14	4.7	35	KURIL ISLANDS	11744191
12-09-2023 01:00	35.32	141.34	4.6	35	"NEAR EAST COAST OF HONSHU, JAPAN"	11744189
12-09-2023 00:25	31.02	-8.45	4	10	MOROCCO	11744291
11-09-2023 22:51	55.47	166.47	5.3	11	KOMANDORSKIYE OSTROVA REGION	11744154
11-09-2023 22:09	5.62	94.9	4.6	96	"NORTHERN SUMATRA, INDONESIA"	11744103
11-09-2023 21:40	-20.81	-65.27	4.1	331	SOUTHERN BOLIVIA	11744090
11-09-2023 20:04	-53.99	140.2	4.4	10	WEST OF MACQUARIE ISLAND	11746361
11-09-2023 19:46	-15.26	-175.09	4	289	TONGA ISLANDS	11746358
11-09-2023 19:26	-21.09	-178.59	4.1	524	FIJI ISLANDS REGION	11746354
11-09-2023 18:30	24.53	127.82	4.5	10	SOUTHEAST OF RYUKYU ISLANDS	11744000
11-09-2023 18:23	2.02	98.99	4	137	"NORTHERN SUMATRA, INDONESIA"	11746332
11-09-2023 17:31	24.39	94.79	4.9	96	MYANMAR-INDIA BORDER REGION	11743952
11-09-2023 17:30	19.16	121.16	4.9	36	PHILIPPINE ISLANDS REGION	11745663
11-09-2023 16:46	29.29	129.49	4.9	10	"RYUKYU ISLANDS, JAPAN"	11743937
11-09-2023 14:57	38.63	142.76	4.1	65	"NEAR EAST COAST OF HONSHU, JAPAN"	11747228
11-09-2023 14:17	31.24	130.27	4.3	160	"KYUSHU, JAPAN"	11747197
11-09-2023 13:37	-27.17	-71.18	5.5	21	NEAR COAST OF NORTHERN CHILE	11743893
11-09-2023 12:51	1.13	127.5	6	151	"HALMAHERA, INDONESIA"	11743873
11-09-2023 10:56	-8.16	158.44	4.7	90	SOLOMON ISLANDS	11743836
11-09-2023 10:03	-22.72	-174.98	4.7	10	TONGA ISLANDS REGION	11746680
11-09-2023 09:20	0.75	-26.09	5.9	10	CENTRAL MID-ATLANTIC RIDGE	11743825
11-09-2023 08:23	-5.1	144.65	4.5	80	"NEW GUINEA, PAPUA NEW GUINEA"	11743883
11-09-2023 08:01	43.56	45.15	4.3	10	EASTERN CAUCASUS	11743933
11-09-2023 06:14	-3.04	139.71	4.9	74	"IRIAN JAYA, INDONESIA"	11743806
11-09-2023 05:51	16.12	-94.06	4.1	74	"OAXACA, MEXICO"	11743901
11-09-2023 05:14	-55.8	-27.18	5.1	35	SOUTH SANDWICH ISLANDS REGION	11743791
11-09-2023 04:28	-29.3	-68.07	4.3	96	"SAN JUAN PROVINCE, ARGENTINA"	11744543
11-09-2023 04:16	-17.99	-177.93	4.5	514	FIJI ISLANDS REGION	11743783
11-09-2023 04:09	41.17	144.37	4.4	10	"HOKKAIDO, JAPAN REGION"	11744535
11-09-2023 02:26	-32.12	-71.8	4.1	35	NEAR COAST OF CENTRAL CHILE	11744223
11-09-2023 01:56	-32.11	-71.75	4.4	35	NEAR COAST OF CENTRAL CHILE	11744227
11-09-2023 01:54	40.18	71.78	4.1	10	TAJIKISTAN	11744214
10-09-2023 22:57	29.4	129.26	4.4	10	"RYUKYU ISLANDS, JAPAN"	11743705
10-09-2023 22:36	-32.77	-179.36	4.6	83	SOUTH OF KERMADEC ISLANDS	11743713
10-09-2023 21:58	-5.94	130.73	4.4	116	BANDA SEA	11743699
10-09-2023 21:46	-6.67	125.05	4.5	10	BANDA SEA	11743696
10-09-2023 21:43	35.06	44.71	4.7	10	IRAQ	11743691
10-09-2023 20:21	13.2	-90.83	4.1	46	NEAR COAST OF GUATEMALA	11746478
10-09-2023 20:17	-3.61	140.11	4.3	46	"IRIAN JAYA, INDONESIA"	11746473
10-09-2023 19:53	37.47	134.57	4	390	SEA OF JAPAN	11743670
10-09-2023 19:44	4.82	126.14	4.3	10	"TALAUD ISLANDS, INDONESIA"	11746383
10-09-2023 18:55	-31.31	-68.76	4.6	112	"SAN JUAN PROVINCE, ARGENTINA"	11743658
10-09-2023 18:03	-49.95	-7.77	4.6	10	SOUTHERN MID-ATLANTIC RIDGE	11746144
10-09-2023 18:03	-58.63	-28.79	4.2	10	SOUTH SANDWICH ISLANDS REGION	11746148
10-09-2023 17:58	31.1	131.5	4.6	44	"KYUSHU, JAPAN"	11743638
10-09-2023 16:30	-32.62	-177.56	4.7	32	SOUTH OF KERMADEC ISLANDS	11743623
10-09-2023 15:56	-2.6	139.96	4.2	10	NEAR NORTH COAST OF IRIAN JAYA	11748313
10-09-2023 15:30	-2.86	128.75	4.4	46	CERAM SEA	11748310
10-09-2023 15:03	-28.7	-177.23	5.3	39	KERMADEC ISLANDS REGION	11743614
10-09-2023 15:01	29.25	129.44	5.3	10	"RYUKYU ISLANDS, JAPAN"	11743616
10-09-2023 14:36	-32.94	-179.03	4.4	36	SOUTH OF KERMADEC ISLANDS	11748012
10-09-2023 14:00	-20.02	-177.91	4.1	560	FIJI ISLANDS REGION	11748007
10-09-2023 13:26	-4.45	153.73	4.3	173	"NEW IRELAND REGION, P.N.G."	11748001
10-09-2023 13:03	54.33	-160.95	4.9	10	ALASKA PENINSULA	11743588
10-09-2023 12:52	-17.54	-175.09	4.2	260	TONGA ISLANDS	11743590
10-09-2023 11:34	10.77	-62.41	4.6	82	NEAR COAST OF VENEZUELA	11743580
10-09-2023 11:08	-21.56	-68.41	4.2	131	CHILE-BOLIVIA BORDER REGION	11743579
10-09-2023 10:21	1.62	127.01	4.9	116	"HALMAHERA, INDONESIA"	11743576
10-09-2023 09:55	-27.95	-66.58	4.6	161	"CATAMARCA PROVINCE, ARGENTINA"	11743571
10-09-2023 08:00	31.05	-8.46	4.2	10	MOROCCO	11743565
10-09-2023 07:46	2.02	-102.1	4.6	10	GALAPAGOS TRIPLE JUNCTION REGION	11743562
10-09-2023 07:38	-30.04	-71.31	4.4	63	NEAR COAST OF CENTRAL CHILE	11743525
10-09-2023 07:13	2.46	127.01	4.5	71	NORTHERN MOLUCCA SEA	11743566
10-09-2023 05:42	2.34	127.52	4.9	85	NORTHERN MOLUCCA SEA	11743515
10-09-2023 05:28	29.32	129.33	4.8	11	"RYUKYU ISLANDS, JAPAN"	11743511
10-09-2023 04:41	-5.46	147	4.9	201	"EASTERN NEW GUINEA REG., P.N.G."	11743495
10-09-2023 04:01	30.3	94.82	4.4	10	XIZANG	11743489
10-09-2023 00:41	17.44	145.76	4.6	10	MARIANA ISLANDS	11743461
10-09-2023 00:10	30.37	94.76	4.5	35	XIZANG	11743449
09-09-2023 23:40	1.94	-102.15	4.5	10	GALAPAGOS TRIPLE JUNCTION REGION	11745254
09-09-2023 22:56	26.45	140.53	4	452	"BONIN ISLANDS, JAPAN REGION"	11745667
09-09-2023 21:57	-15.13	-177.39	4.5	378	FIJI ISLANDS REGION	11745343
09-09-2023 20:03	-33.95	-71.31	4	49	NEAR COAST OF CENTRAL CHILE	11743391
09-09-2023 19:23	-2.38	139.23	4.1	30	NEAR NORTH COAST OF IRIAN JAYA	11746040
09-09-2023 19:07	-29.79	-176.34	4.6	10	KERMADEC ISLANDS REGION	11746038
09-09-2023 18:21	-1.38	26.67	4.6	10	DEMOCRATIC REPUBLIC OF CONGO	11743367
09-09-2023 18:06	-21.05	-178.67	4.5	555	FIJI ISLANDS REGION	11743360
09-09-2023 18:06	51.6	177.8	4.8	77	"RAT ISLANDS, ALEUTIAN ISLANDS"	11743358
09-09-2023 17:30	1.58	99.7	4.6	173	"NORTHERN SUMATRA, INDONESIA"	11743356
09-09-2023 16:37	-24.44	-176.27	4.6	27	SOUTH OF FIJI ISLANDS	11743351
09-09-2023 14:43	0	119.77	6	10	"MINAHASSA PENINSULA, SULAWESI"	11743323
09-09-2023 13:57	16.09	-96.55	4.5	39	"OAXACA, MEXICO"	11743347
09-09-2023 13:24	-6.66	129.87	4.1	168	BANDA SEA	11745950
09-09-2023 13:07	-25.94	70.81	4.3	10	MID-INDIAN RIDGE	11745952
09-09-2023 12:24	16.38	-95.77	4.2	21	"OAXACA, MEXICO"	11743303
09-09-2023 12:24	-33.66	-178.9	4.6	35	SOUTH OF KERMADEC ISLANDS	11748557
09-09-2023 11:52	-24.87	-175.28	4.8	10	SOUTH OF TONGA ISLANDS	11743298
09-09-2023 10:18	24.65	92.79	4.8	46	INDIA-BANGLADESH BORDER REGION	11743290
09-09-2023 09:51	-16.2	-74.9	4.3	10	NEAR COAST OF PERU	11743286
09-09-2023 09:31	8.49	-82.91	4.5	15	PANAMA-COSTA RICA BORDER REGION	11743278
09-09-2023 09:28	29.38	129.17	4.7	10	"RYUKYU ISLANDS, JAPAN"	11743274
09-09-2023 08:41	-5.68	148.73	4.3	134	"NEW BRITAIN REGION, P.N.G."	11749184
09-09-2023 08:32	-21.17	-69.55	4	88	NORTHERN CHILE	11749182
09-09-2023 08:28	2.07	-101.74	4.6	10	GALAPAGOS TRIPLE JUNCTION REGION	11743259
09-09-2023 08:20	2.15	-101.98	4.7	10	GALAPAGOS TRIPLE JUNCTION REGION	11743257
09-09-2023 08:14	-32.37	-69.97	4.2	116	"MENDOZA PROVINCE, ARGENTINA"	11743261
09-09-2023 05:12	8.44	-82.96	4.5	10	PANAMA-COSTA RICA BORDER REGION	11743226
09-09-2023 05:02	-7.38	128.52	4.7	151	BANDA SEA	11743224
09-09-2023 04:46	29.37	129.26	4.5	10	"RYUKYU ISLANDS, JAPAN"	11745270
09-09-2023 04:05	8.6	-83.03	4.5	3	COSTA RICA	11743225
09-09-2023 03:49	-6.12	130.19	4.5	117	BANDA SEA	11743218
09-09-2023 03:09	-4.74	-105.53	5.8	10	CENTRAL EAST PACIFIC RISE	11743203
09-09-2023 03:03	29.35	129.34	4.6	10	"RYUKYU ISLANDS, JAPAN"	11743206
09-09-2023 02:59	-24.02	-179.97	4.2	517	SOUTH OF FIJI ISLANDS	11745251
09-09-2023 02:49	14.11	144.93	4.5	160	MARIANA ISLANDS	11745248
09-09-2023 02:40	29.23	129.62	4.5	12	"RYUKYU ISLANDS, JAPAN"	11743201
09-09-2023 02:38	-32.67	-177.68	4.9	10	SOUTH OF KERMADEC ISLANDS	11743197
09-09-2023 02:12	-14.89	170.47	4.4	630	VANUATU ISLANDS REGION	11745238
09-09-2023 00:45	-18.89	168.92	5	164	VANUATU ISLANDS	11743169
09-09-2023 00:44	29.37	129.26	4.3	10	"RYUKYU ISLANDS, JAPAN"	11745991
09-09-2023 00:06	-6.83	116.56	5.6	513	BALI SEA	11743142
08-09-2023 23:17	-18.15	168.47	4.3	114	VANUATU ISLANDS	11746023
08-09-2023 22:57	1.45	127.03	4.4	122	"HALMAHERA, INDONESIA"	11745988
08-09-2023 22:50	4.19	126.19	4.5	115	"TALAUD ISLANDS, INDONESIA"	11745990
08-09-2023 22:47	29.33	129.28	4.9	10	"RYUKYU ISLANDS, JAPAN"	11743171
08-09-2023 22:39	-32.7	-178.34	4.3	10	SOUTH OF KERMADEC ISLANDS	11745823
08-09-2023 22:30	31.04	-8.35	4.9	10	MOROCCO	11743105
08-09-2023 22:11	31.05	-8.39	6.8	19	MOROCCO	11743100
08-09-2023 22:09	25.09	124.79	4.7	76	NORTHEAST OF TAIWAN	11743133
08-09-2023 21:57	-20.67	-178.47	4.2	525	FIJI ISLANDS REGION	11746026
08-09-2023 20:55	41.06	83.76	4.6	13	"SOUTHERN XINJIANG, CHINA"	11743346
08-09-2023 20:45	-1.67	-78.09	4.4	164	ECUADOR	11743316
08-09-2023 20:32	-32.16	-13.81	5	10	SOUTHERN MID-ATLANTIC RIDGE	11743028
08-09-2023 19:33	30.34	94.82	4.8	34	XIZANG	11743027
08-09-2023 19:27	16.58	-99.92	4.5	10	"NEAR COAST OF GUERRERO, MEXICO"	11743025
08-09-2023 18:23	29.17	129.44	4.4	11	"RYUKYU ISLANDS, JAPAN"	11742968
08-09-2023 18:08	29.26	129.46	5.1	9	"RYUKYU ISLANDS, JAPAN"	11742950
08-09-2023 17:28	29.15	129.61	5	20	"RYUKYU ISLANDS, JAPAN"	11742879
08-09-2023 17:25	40.96	-121.57	4.7	12	NORTHERN CALIFORNIA	11743031
08-09-2023 17:24	40.95	-121.56	5.1	16	NORTHERN CALIFORNIA	11742866
08-09-2023 17:14	29.26	129.46	4.1	53	"RYUKYU ISLANDS, JAPAN"	11742884
08-09-2023 16:37	19.45	-104.94	5.8	35	"NEAR COAST OF JALISCO, MEXICO"	11742864
08-09-2023 16:34	-19.03	-175.56	5.2	217	TONGA ISLANDS	11742863
08-09-2023 16:27	63.1	-150.4	4.5	105	CENTRAL ALASKA	11742822
08-09-2023 15:53	19.38	-105.11	5.6	10	"NEAR COAST OF JALISCO, MEXICO"	11742800
08-09-2023 15:23	29.25	129.63	4.6	10	"RYUKYU ISLANDS, JAPAN"	11742802
08-09-2023 15:13	-7.93	-74.47	4.4	149	PERU-BRAZIL BORDER REGION	11742974
08-09-2023 14:36	43.9	13.38	4	10	CENTRAL ITALY	11743220
08-09-2023 14:26	-26.24	178.46	4.5	629	SOUTH OF FIJI ISLANDS	11742787
08-09-2023 13:08	29.32	129.34	4.1	10	"RYUKYU ISLANDS, JAPAN"	11746045
08-09-2023 12:41	13.25	49.94	4.3	10	EASTERN GULF OF ADEN	11742763
08-09-2023 11:24	-16.05	-74.87	4.1	10	NEAR COAST OF PERU	11746041
08-09-2023 10:54	19.1	145.87	5.2	147	MARIANA ISLANDS	11742739
08-09-2023 09:28	38.96	142.1	5.5	54	"NEAR EAST COAST OF HONSHU, JAPAN"	11742724
08-09-2023 09:09	-32.72	-179.31	6.6	90	SOUTH OF KERMADEC ISLANDS	11742720
08-09-2023 07:37	11.28	57.55	4.6	10	OWEN FRACTURE ZONE REGION	11749172
08-09-2023 06:14	-20.96	-178.72	4.3	561	FIJI ISLANDS REGION	11742696
08-09-2023 05:21	-18.72	-67.97	4.4	185	CENTRAL BOLIVIA	11742697
08-09-2023 04:35	21.62	142.83	4.2	355	MARIANA ISLANDS REGION	11744923
08-09-2023 04:15	29.26	129.32	4.6	10	"RYUKYU ISLANDS, JAPAN"	11744879
08-09-2023 04:05	29.34	129.35	4.3	10	"RYUKYU ISLANDS, JAPAN"	11744869
08-09-2023 02:15	29.32	129.32	4.5	10	"RYUKYU ISLANDS, JAPAN"	11742662
08-09-2023 02:11	-19.63	-177.52	4.1	547	FIJI ISLANDS REGION	11744858
08-09-2023 01:06	36.06	25.03	4.2	10	"DODECANESE ISLANDS, GREECE"	11742657
07-09-2023 23:27	-31.24	-177.72	4.7	10	KERMADEC ISLANDS REGION	11742593
07-09-2023 23:22	2.25	-101.74	4.5	10	GALAPAGOS TRIPLE JUNCTION REGION	11742600
07-09-2023 23:07	56.24	163.8	4.8	10	NEAR EAST COAST OF KAMCHATKA	11742590
07-09-2023 23:02	56.22	163.91	4.8	10	NEAR EAST COAST OF KAMCHATKA	11742582
07-09-2023 22:39	1.95	-101.77	4.4	10	GALAPAGOS TRIPLE JUNCTION REGION	11746029
07-09-2023 19:55	29.26	129.41	4.2	10	"RYUKYU ISLANDS, JAPAN"	11745446
07-09-2023 19:26	43.22	84.87	4.5	44	"NORTHERN XINJIANG, CHINA"	11742511
07-09-2023 19:20	4.4	127.75	5.1	129	"TALAUD ISLANDS, INDONESIA"	11742509
07-09-2023 18:04	36.55	71.51	4.1	115	AFGHANISTAN-TAJIKISTAN BORD REG.	11742798
07-09-2023 17:50	29.19	129.53	4.3	12	"RYUKYU ISLANDS, JAPAN"	11744729
07-09-2023 16:32	12.67	143.66	4.5	57	SOUTH OF MARIANA ISLANDS	11742500
07-09-2023 16:27	55.14	165.99	4.5	10	KOMANDORSKIYE OSTROVA REGION	11742497
07-09-2023 15:18	1.81	122.99	4.3	422	"MINAHASSA PENINSULA, SULAWESI"	11742451
07-09-2023 13:57	-6.43	103.6	4.5	10	"SOUTHWEST OF SUMATRA, INDONESIA"	11745955
07-09-2023 10:45	-30.3	-71.44	4.3	42	NEAR COAST OF CENTRAL CHILE	11742403
07-09-2023 08:53	6.74	-73.02	4.2	162	NORTHERN COLOMBIA	11742373
07-09-2023 08:48	-24.6	179.94	4.2	506	SOUTH OF FIJI ISLANDS	11748520
07-09-2023 07:52	-24.05	-69.38	4.3	74	NORTHERN CHILE	11742372
07-09-2023 05:40	-28.73	-68.51	4.7	99	"LA RIOJA PROVINCE, ARGENTINA"	11742285
07-09-2023 05:09	-6.9	129.24	4.2	145	BANDA SEA	11748555
07-09-2023 05:01	-55.37	-127.98	5.1	10	PACIFIC-ANTARCTIC RIDGE	11742284
07-09-2023 04:59	22.46	94.13	4.3	87	MYANMAR	11745266
07-09-2023 04:49	-55.44	-128.23	5.3	10	PACIFIC-ANTARCTIC RIDGE	11742281
07-09-2023 04:03	-21.24	-70.21	4.3	38	NEAR COAST OF NORTHERN CHILE	11742599
07-09-2023 03:14	-1.73	127.4	4.4	10	"HALMAHERA, INDONESIA"	11745306
07-09-2023 02:50	-55.64	-123.49	4.7	10	SOUTHERN EAST PACIFIC RISE	11745314
06-09-2023 23:53	-6.75	129.55	4.7	151	BANDA SEA	11742178
06-09-2023 23:48	-30.28	-71.54	6.2	41	NEAR COAST OF CENTRAL CHILE	11742172
06-09-2023 23:11	-17.93	-178.52	4.3	581	FIJI ISLANDS REGION	11742134
06-09-2023 21:57	-13.52	166.82	4.1	105	VANUATU ISLANDS	11744599
06-09-2023 21:46	38.49	144.5	4.2	10	"OFF EAST COAST OF HONSHU, JAPAN"	11744607
06-09-2023 21:23	-6.63	129.76	4	149	BANDA SEA	11744609
06-09-2023 18:55	19.06	145.98	4.4	121	MARIANA ISLANDS	11744492
06-09-2023 17:03	-19.97	-173.19	4.8	10	TONGA ISLANDS	11741959
06-09-2023 15:52	41.51	130.09	4.9	650	NORTH KOREA	11741838
06-09-2023 15:12	5.51	123.85	4.1	536	"MINDANAO, PHILIPPINES"	11745322
06-09-2023 13:35	-6.9	116.5	4.5	509	BALI SEA	11742995
06-09-2023 12:11	55.26	161.96	4.1	60	NEAR EAST COAST OF KAMCHATKA	11747417
06-09-2023 11:11	-16.95	-172.2	4.9	10	SAMOA ISLANDS REGION	11741784
06-09-2023 07:51	7.05	125.57	4.9	11	"MINDANAO, PHILIPPINES"	11741754
06-09-2023 06:53	13	120.44	4.9	10	"MINDORO, PHILIPPINES"	11741746
06-09-2023 03:57	-5.6	151.46	4.3	35	"NEW BRITAIN REGION, P.N.G."	11748769
06-09-2023 03:53	-27.12	-71.13	4.3	35	NEAR COAST OF NORTHERN CHILE	11742607
06-09-2023 03:41	46.18	152.75	4.2	10	KURIL ISLANDS	11748746
06-09-2023 03:21	40.52	142.68	4.5	10	"NEAR EAST COAST OF HONSHU, JAPAN"	11748733
06-09-2023 03:05	37.53	72.25	4	178	TAJIKISTAN	11742564
06-09-2023 02:28	1.23	121.81	4.2	35	"MINAHASSA PENINSULA, SULAWESI"	11748712
06-09-2023 02:27	-19.2	-177.35	4.1	554	FIJI ISLANDS REGION	11748696
06-09-2023 02:09	-20.28	-69.1	4.3	110	NORTHERN CHILE	11742261
06-09-2023 01:30	-6.52	104.42	4.8	35	"SUNDA STRAIT, INDONESIA"	11741668
06-09-2023 00:07	2.68	127.04	4.9	49	NORTHERN MOLUCCA SEA	11741647
05-09-2023 18:02	36.51	70.43	4.6	202	"HINDU KUSH REGION, AFGHANISTAN"	11741941
05-09-2023 17:50	-4.95	-11.58	5	10	NORTH OF ASCENSION ISLAND	11741535
05-09-2023 17:38	-6.62	128.49	4.4	291	BANDA SEA	11750351
